ID,CounterpartyID,ProjectName,Long,Lat,Technology,SolarCapacity,WindCapacity,BESSCapacity,ProjectStatus,RTBDate,RAGStatus,RAGComment,LastModified,Created
e2a2e8c4-2d71-489d-8d3d-7b25d8e58a5d,fe43674f-3a30-4720-bad9-557602ecc18e,WindWatt Works,-0.956,56.072,Wind,0,62.052,0,Construction,2020-07-22 00:00:00,Amber,Pending minor approvals.,2024-07-22 12:43:28.093790+00:00,2024-07-19 13:49:22.795695+00:00
29a1e0a7-3a7e-4b9e-8b2f-4c3d3a2d6e5f,64eed420-5fc8-4eb3-9b7e-02b84456f433,EcoPulse Power,-2.297,50.757,Wind,0,13.674,0,Construction,2021-07-22 00:00:00,Red,Major issues identified.,2024-07-22 12:43:28.093790+00:00,2024-07-19 13:49:22.795695+00:00
5a8b7e3c-7d8e-4b9a-8f4d-6e7f8d3c2b1a,385cf12a-c9ed-4f20-a03e-c0f8d01a8cd5,NatureVolt Network,-9.825,54.01,BESS,0,0,21.418,Construction,2022-07-22 00:00:00,Green,All permits approved and financing secured.,2024-07-22 12:43:28.093790+00:00,2024-07-19 13:49:22.795695+00:00
d6e5a8f4-2c3d-4b9e-8a1e-7b2d3c4e5f6a,be870c26-9dee-49a3-9e9b-90cefbc4e2b1,SunBeam Solutions,0.055,57.324,Solar,43.321,0,0,On hold,2023-07-22 00:00:00,Amber,Pending minor approvals.,2024-07-22 12:43:28.093790+00:00,2024-07-19 13:49:22.795695+00:00
8a1e2b3c-4d5e-6f7a-8b9c-0d1e2f3a4b5c,2bcaaa1d-4aeb-45a3-9944-814c27e34cb9,RenewGen Hub,-1.424,58.343,Wind,0,18.654,0,Commissioning,2024-07-22 00:00:00,Amber,Pending minor approvals.,2024-07-22 12:43:28.093790+00:00,2024-07-19 13:49:22.795695+00:00
4d5e6f7a-8b9c-0d1e-2f3a-4b5c6d7e8f9a,f8761ef7-c33b-4915-ae2d-ff0ae9c3c510,EcoFusion Energy,-9.666,51.542,Solar,33.743,0,0,Discovery,2010-07-22 00:00:00,Red,Major issues identified.,2024-07-22 12:43:28.093790+00:00,2024-07-19 13:49:22.795695+00:00
2f3a4b5c-6d7e-8f9a-0b1c-2d3e4f5a6b7c,676caa15-e125-42f5-bad7-23c1278d45c1,SunCycle Systems,-7.154,51.022,BESS,0,0,13.374,Design,2011-07-22 00:00:00,Amber,Pending minor approvals.,2024-07-22 12:43:28.093790+00:00,2024-07-19 13:49:22.795695+00:00
0b1c2d3e-4f5a-6b7c-8d9e-0a1b2c3d4e5f,3944164c-d8d8-43d4-9050-06a124ebe05a,Nature’s Power Path,-0.928,54.19,BESS,0,0,6.832,Completed,2012-07-22 00:00:00,Red,Major issues identified.,2024-07-22 12:43:28.093790+00:00,2024-07-19 13:49:22.795695+00:00
4f5a6b7c-8d9e-0a1b-2c3d-4e5f6a7b8c9d,3944164c-d8d8-43d4-9050-06a124ebe05a,SolarSpectrum Project,0.932,56.767,BESS,0,0,2.426,Construction,2013-07-22 00:00:00,Amber,Pending minor approvals.,2024-07-22 12:43:28.093790+00:00,2024-07-19 13:49:22.795695+00:00
128f1c8d-5de9-4219-aa7c-8ec9efe6a4ad,7c59fc50-6aa8-4df4-abaa-9b5a35e4d29c,London Formula E race 2024,50,0.01,Solar,15,0,0,Construction,2014-07-22 00:00:00,Red,,2024-07-22 12:43:28.093790+00:00,2024-07-20 13:58:36.161652+00:00
64010c0f-b806-4a05-9433-3d6dbec81400,bb511707-1bea-4011-baf8-1d8cc38bd473,Amazing pipeline,50,0.01,Wind,0,200,0,Commissioning,2015-07-22 00:00:00,Green,,2024-07-22 12:43:28.093790+00:00,2024-07-20 23:57:23.574883+00:00
034b72ba-24c4-4e5c-b79c-71dbab28be07,b4e6573c-6b49-4672-8bc1-0fc88c31d952,BESS energy test,50,0.002,BESS,0,0,100,Design,2016-07-22 00:00:00,Green,,2024-07-22 12:43:28.093790+00:00,2024-07-22 12:31:49.730259+00:00
7691cbad-da2d-4ecb-af21-69281021ba98,67cfd292-a7d8-47b5-a8eb-f345f7bd4337,test,50,0.01,BESS,0,0,13,Design,2017-07-22 00:00:00,Green,,2024-07-22 12:43:28.093790+00:00,2024-07-22 12:38:37.450900+00:00
7691cbad-da2d-4ecb-af21-69281021ba98,bb511707-1bea-4011-baf8-1d8cc38bd473,blue,50.001,0.001,Solar,0,0,0,Design,2018-07-22 00:00:00,Red,,2024-07-22 12:43:28.093790+00:00,2024-07-22 12:38:37.450900+00:00
a5e6f3e9-42ed-4cd4-b62a-03f8fe9806bd,bb511707-1bea-4011-baf8-1d8cc38bd473,blue,50.001,0.001,Solar,0,0,0,Design,2019-07-22 00:00:00,Red,,2024-07-22 12:43:28.093790+00:00,2024-07-22 12:41:14.039509+00:00
a5e6f3e9-42ed-4cd4-b62a-03f8fe9806bd,bb511707-1bea-4011-baf8-1d8cc38bd473,blue,50.001,0.001,Solar,0,0,0,Design,2020-07-22 00:00:00,Red,,2024-07-22 12:43:28.093790+00:00,2024-07-22 12:41:14.039509+00:00
0c3055cc-1463-4394-bf8d-4015d95c81ab,67cfd292-a7d8-47b5-a8eb-f345f7bd4337,eateta,50,50,Solar,1,0,0,On hold,2021-07-22 00:00:00,Amber,,2024-07-22 14:09:46.940874+00:00,2024-07-22 14:09:46.940828+00:00
